symboling,highway-mpg,price
3,27,13495
3,27,16500
1,26,16500
2,30,13950
2,22,17450
2,25,15250
1,25,17710
1,25,18920
1,20,23875
0,22,?
2,29,16430
0,29,16925
0,28,20970
0,28,21105
1,25,24565
0,22,30760
0,22,41315
0,20,36880
2,53,5151
1,43,6295
0,43,6575
1,41,5572
1,38,6377
1,30,7957
1,38,6229
1,38,6692
1,38,7609
1,30,8558
-1,30,8921
3,24,12964
2,54,6479
2,38,6855
1,42,5399
1,34,6529
1,34,7129
0,34,7295
0,34,7295
0,33,7895
0,33,9095
0,33,8845
0,33,10295
0,28,12945
1,31,10345
0,29,6785
1,43,?
0,43,?
2,29,11048
0,19,32250
0,19,35550
0,17,36000
1,31,5195
1,38,6095
1,38,6795
1,38,6695
1,38,7395
3,23,10945
3,23,11845
3,23,13645
3,23,15645
1,32,8845
0,32,8495
1,32,10595
0,32,10245
0,42,10795
0,32,11245
0,27,18280
0,39,18344
-1,25,25552
-1,25,28248
0,25,28176
-1,25,31600
-1,18,34184
3,18,35056
0,16,40960
1,16,45400
1,24,16503
2,41,5389
2,38,6189
2,38,6669
1,30,7689
3,30,9959
3,32,8499
3,24,12629
3,24,14869
3,24,14489
1,32,6989
1,32,8189
1,30,9279
-1,30,9279
1,37,5499
1,50,7099
1,37,6649
1,37,6849
1,37,7349
1,37,7299
1,37,7799
1,37,7499
1,37,7999
2,37,8249
0,34,8949
0,34,9549
0,22,13499
0,22,14399
0,25,13499
3,25,17199
3,23,19699
1,25,18399
0,24,11900
0,33,13200
0,24,12440
0,25,13860
0,24,15580
0,33,16900
0,24,16695
0,25,17075
0,24,16630
0,33,17950
0,24,18150
1,41,5572
1,30,7957
1,38,6229
1,38,6692
1,38,7609
-1,30,8921
3,24,12764
3,27,22018
3,25,32528
3,25,34028
3,25,37028
1,28,?
0,31,9295
2,31,9895
3,28,11850
2,28,12170
3,28,15040
2,28,15510
3,26,18150
2,26,18620
2,36,5118
2,31,7053
2,31,7603
0,37,7126
0,33,7775
0,32,9960
0,25,9233
0,29,11259
0,32,7463
0,31,10198
0,29,8013
0,23,11694
1,39,5348
1,38,6338
1,38,6488
0,37,6918
0,32,7898
0,32,8778
0,37,6938
0,37,7198
0,36,7898
0,47,7788
0,47,7738
0,34,8358
0,34,9258
1,34,8058
1,34,8238
1,29,9298
1,29,9538
2,30,8449
2,30,9639
2,30,9989
2,30,11199
2,30,11549
2,30,17669
-1,34,8948
-1,33,10698
-1,32,9988
-1,32,10898
-1,32,11248
3,24,16558
3,24,15998
-1,24,15690
-1,24,15750
2,46,7775
2,34,7975
2,46,7995
2,34,8195
2,34,8495
2,42,9495
2,32,9995
3,29,11595
3,29,9980
0,24,13295
0,38,13845
0,31,12290
-2,28,12940
-1,28,13415
-2,28,15985
-1,28,16515
-2,22,18420
-1,22,18950
-1,28,16845
-1,25,19045
-1,23,21485
-1,27,22470
-1,25,22625